NHLid,Last Name,First Name,Position,Team
8474612,Hamonic,Travis,D,NYI
8478396,Hanifin,Noah,D,CAR
8477810,Hanley,Joel,D,MTL
8478541,Hannikainen,Markus,LW,CBJ
8471498,Hansen,Jannik,RW,S.J/VAN
8471691,Hanzal,Martin,C,ARI/MIN
8475597,Harper,Shane,RW,FLA
8477433,Harpur,Ben,D,OTT
8476449,Harrington,Scott,D,CBJ
8477451,Hartman,Ryan,LW/RW,CHI
8468486,Hartnell,Scott,LW,CBJ
8477903,Hathaway,Garnet,RW,CGY
8475287,Haula,Erik,C/LW,MIN
8477401,Hayden,John,LW/RW/C,CHI
8474625,Hayes,Jimmy,RW,BOS
8475763,Hayes,Kevin,C/RW,NYR
8475167,Hedman,Victor,D,T.B
8475841,Heed,Tim,D,S.J
8478046,Heinen,Danton,C,BOS
8475274,Helgeson,Seth,D,N.J
8471794,Helm,Darren,C,DET
8469466,Hemsky,Ales,RW,DAL
8468611,Hendricks,Matt,LW/C,EDM
8476511,Henley,Samuel,C/RW,COL
8474641,Henrique,Adam,C,N.J
8476881,Hertl,Tomas,C/RW,S.J
8474066,Hickey,Thomas,D,NYI
8476994,Hinostroza,Vinnie,LW/C,CHI
8471769,Hjalmarsson,Niklas,D,CHI
8477959,Ho-Sang,Joshua,RW/C,NYI
8474884,Hoffman,Mike,LW/C,OTT
8474207,Holden,Nick,D,NYR
8475180,Holland,Peter,C,ARI/TOR
8473560,Holzer,Korbinian,D,ANA
8477945,Honka,Julius,D,DAL
8471887,Hornqvist,Patric,RW,PIT
8477500,Horvat,Bo,C,VAN
8466148,Hossa,Marian,RW,CHI
8475769,Howden,Quinton,C/LW/C,WPG
8475949,Hrivik,Marek,LW/C/RW,NYR
8476456,Huberdeau,Jonathan,LW/C,FLA
8470201,Hudler,Jiri,RW/LW,DAL
8476948,Hudon,Charles,LW,MTL
8476779,Hunt,Brad,D,NSH/STL
8471436,Hunwick,Matt,D,TOR
8477018,Hutton,Ben,D,VAN
8475786,Hyman,Zach,C/RW/LW,TOR
8462042,Iginla,Jarome,RW,COL/L.A
8475625,Irwin,Matt,D,NSH
8448208,Jagr,Jaromir,RW,FLA
8476873,Jankowski,Mark,C,CGY
8475714,Jarnkrok,Calle,C,NSH
8476436,Jaskin,Dmitrij,RW/LW,STL
8476432,Jenner,Boone,C/LW,CBJ
8475324,Jensen,Nick,D,DET
8476482,Jensen,Nicklas,RW/LW,NYR
8475793,Johansen,Ryan,C/RW,NSH
8475149,Johansson,Marcus,LW/C/RW,WSH
8475730,Johns,Stephen,D,DAL
8473446,Johnson,Erik,D,COL
8471677,Johnson,Jack,D,CBJ
8474870,Johnson,Tyler,C,T.B
8478963,Johnston,Ryan,D,MTL
8469638,Jokinen,Jussi,LW/RW/C,FLA
8476279,Jokipakka,Jyrki,D,CGY/OTT
8477881,Jones,Connor,C/LW,NYI
8477495,Jones,Seth,D,CBJ
8477591,Jooris,Josh,RW/C,ARI/NYR
8475185,Josefson,Jacob,C/LW,N.J
8474600,Josi,Roman,D,NSH
8479370,Jost,Tyson,C/LW/RW,COL
8476430,Jurco,Tomas,LW/RW,CHI/DET
8475172,Kadri,Nazem,C,TOR
8478566,Kalinin,Sergey,C/RW,N.J
8477973,Kamenev,Vladislav,LW/C,NSH
8474000,Kampfer,Steven,D,FLA/NYR
8475169,Kane,Evander,LW,BUF
8474141,Kane,Patrick,RW/C,CHI
8477953,Kapanen,Kasperi,RW,TOR
8480081,Kapla,Michael,D,N.J
8474578,Karlsson,Erik,D,OTT
8477922,Karlsson,Melker,C/RW,S.J
8476448,Karlsson,William,C,CBJ
8478131,Kase,Ondrej,RW,ANA
8475178,Kassian,Zack,RW,EDM
8471996,Kearns,Bracken,C,NYI
8470281,Keith,Duncan,D,CHI
8479343,Keller,Clayton,C/LW,ARI
8467967,Kelly,Chris,C/LW,OTT
8477960,Kempe,Adrian,LW/C,L.A
8479482,Kempny,Michal,D,CHI
8476866,Kerdiles,Nicolas,LW,ANA
8478528,Kero,Tanner,C/RW,CHI
8470616,Kesler,Ryan,C/RW,ANA
8473548,Kessel,Phil,RW/C,PIT
8476915,Khaira,Jujhar,LW,EDM
8473986,Killorn,Alex,LW/C,T.B
8471693,Kindl,Jakub,D,FLA
8474100,King,Dwight,LW/RW,L.A/MTL
8476472,Klefbom,Oscar,D,EDM
8470630,Klein,Kevin,D,NYR
8475906,Klingberg,John,D,DAL
8476886,Koekkoek,Slater,D,T.B
8469459,Koivu,Mikko,C,MIN
8473463,Komarov,Leo,C/LW,TOR
8478439,Konecny,Travis,C/LW,PHI
8471685,Kopitar,Anze,C,L.A
8471232,Korpikoski,Lauri,LW/RW,CBJ/DAL
8479290,Kossila,Kalle,LW/C,ANA
8475184,Kreider,Chris,LW/C,NYR
8471276,Krejci,David,C,BOS
8468509,Kronwall,Niklas,D,DET
8476792,Krug,Torey,D,BOS
8475323,Kruger,Marcus,C,CHI
8476453,Kucherov,Nikita,RW,T.B
8475832,Kuhnhackl,Tom,RW,PIT
8476967,Kulak,Brett,D,CGY
8473579,Kulemin,Nikolay,LW/RW,NYI
8475179,Kulikov,Dmitry,D,BUF
8470543,Kunitz,Chris,LW,PIT
8476374,Kuraly,Sean,C,BOS
8475744,Kuznetsov,Evgeny,C/LW,WSH
8478099,Labanc,Kevin,RW,S.J
8476425,Labate,Joseph,C,VAN
8471217,Ladd,Andrew,LW,NYI
8476983,Ladue,Paul,D,L.A
8479339,Laine,Patrik,RW,WPG
8475165,Lander,Anton,C/LW/RW,EDM
8476455,Landeskog,Gabriel,LW,COL
8479250,Lappin,Nick,RW,N.J
8477946,Larkin,Dylan,C/LW,DET
8474707,Larsen,Philip,D,VAN
8476457,Larsson,Adam,D,EDM
8478491,Larsson,Jacob,D,ANA
8475728,Larsson,Johan,C/LW,BUF
8474873,Lashoff,Brian,D,DET
8476872,Laughton,Scott,C/LW,PHI
8477508,Lazar,Curtis,C/RW,CGY/OTT
8475181,Leddy,Nick,D,NYI
8475314,Lee,Anders,LW/C,NYI
8477476,Lehkonen,Artturi,LW,MTL
8474627,Lehtera,Jori,C,STL
8476955,Leier,Taylor,LW,PHI
8476410,Leivo,Josh,LW,TOR
8478004,Lernout,Brett,D,MTL
8471724,Letang,Kris,D,PIT
8473914,Letestu,Mark,C/RW,EDM
8473453,Lewis,Trevor,C/RW/LW,L.A
8475436,Liambas,Mike,LW,NSH
8468639,Liles,John-Michael,D,BOS
8475715,Lindberg,Oscar,C,NYR
8476989,Lindbohm,Petteri,D,STL
8476902,Lindell,Esa,D,DAL
8478073,Lindholm,Anton,D,COL
8477496,Lindholm,Elias,C/RW,CAR
8476854,Lindholm,Hampus,D,ANA
8473412,Little,Bryan,C/RW,WPG
8478371,Lorito,Matt,LW/RW,DET
8473933,Lovejoy,Ben,D,N.J
8476392,Lowry,Adam,C/LW,WPG
8473473,Lucic,Milan,LW,EDM
8479648,Lyubimov,Roman,LW,PHI
8476874,Maatta,Olli,D,PIT
8470667,MacArthur,Clarke,LW,OTT
8473584,MacDonald,Andrew,D,PHI
8468001,MacKenzie,Derek,C/LW,FLA
8477492,MacKinnon,Nathan,C/RW,COL
8478843,Malgin,Denis,C,FLA
8471215,Malkin,Evgeni,C/RW,PIT
8477391,Malone,Sean,C,BUF
8475430,Manning,Brandon,D,PHI
8476312,Manson,Josh,D,ANA
8477511,Mantha,Anthony,RW,DET
8473419,Marchand,Brad,LW/C,BOS
8476289,Marchenko,Alexey,D,DET/TOR
8476539,Marchessault,Jonathan,C,FLA
8475716,Marincin,Martin,D,TOR
8467496,Markov,Andrei,D,MTL
8466139,Marleau,Patrick,LW/C,S.J
8478483,Marner,Mitchell,C/RW,TOR
8474034,Maroon,Patrick,LW,EDM
8474709,Martin,Matt,LW/RW,TOR
8468542,Martin,Paul,D,S.J
8474166,Martinez,Alec,D,L.A
8476921,Martinook,Jordan,LW/C,ARI
8478561,Martinsen,Andreas,LW/C,COL/MTL
8476875,Matheson,Michael,D,FLA
8479318,Matthews,Auston,C,TOR
8473574,Matthias,Shawn,LW/C,WPG
8476429,Mayfield,Scott,D,NYI
8473571,McBain,Jamie,D,ARI
8476931,McCabe,Jake,D,BUF
8477955,McCann,Jared,C,FLA
8477446,McCarron,Michael,RW/C,MTL
8469508,McClement,Jay,C,CAR
8476323,McCormick,Max,RW/LW/C,OTT
